"Date","Capital","Return(%)"
"May 1999",562897.3823345124,-3.4515907913527655
"Jun 1999",605351.9288855054,7.542146736394595
"Jul 1999",585637.9689300614,-3.2566114048300343
"Aug 1999",609689.8029792244,4.106945813828422
"Sep 1999",593082.8943485157,-2.7238291586245467
"Oct 1999",642685.3702038554,8.363497974398104
"Nov 1999",652250.974102996,1.4883805268675276
"Dec 1999",695796.1160880065,6.676132917224953
"Jan 2000",665790.2216554652,-4.312455004958105
"Feb 2000",645031.2821778985,-3.117939976040851
"Mar 2000",717775.6572497097,11.277650725123834
"Apr 2000",672635.244926723,-6.288930512905743
"May 2000",654621.5343266404,-2.6780800940701455
"Jun 2000",691280.9389661022,5.600091460048051
"Jul 2000",681076.2435652842,-1.476200893963664
"Aug 2000",706545.1003522321,3.739501564997205
"Sep 2000",654435.4307952869,-7.375278595940604
"Oct 2000",658200.83769527,0.5753672131423748
"Nov 2000",629709.2531781181,-4.328706814916372
"Dec 2000",600560.5010031085,-4.628922320562556
"Jan 2001",627290.3168594359,4.450811502201857
"Feb 2001",566905.2636534609,-9.626332749451027
"Mar 2001",521736.8099170616,-7.967548836168503
"Apr 2001",568860.6677098586,9.0321129153774
"May 2001",570032.5127377524,0.20599860289363114
"Jun 2001",566706.5459789012,-0.583469659103697
"Jul 2001",566582.4095090749,-0.021904894289148658
"Aug 2001",523318.14706650673,-7.636005233564392
"Sep 2001",499570.58270709094,-4.537882833326967
"Oct 2001",521575.6120836411,4.404788860326514
"Nov 2001",554282.1128812046,6.270711290910325
"Dec 2001",554620.0248120001,0.060963888774789865
"Jan 2002",538843.2009753608,-2.8446185011057223
"Feb 2002",527257.995074929,-2.15001430461802
"Mar 2002",540904.9927266401,2.588296010527391
"Apr 2002",492796.44096853316,-8.894085357873527
"May 2002",488548.7193233469,-0.8619627278228403
"Jun 2002",461340.3667895332,-5.569219907381617
"Jul 2002",428153.64312353934,-7.193544301562027
"Aug 2002",430195.3762563459,0.476869265414015
"Sep 2002",381951.7895980639,-11.21434337070476
"Oct 2002",429790.8473537413,12.524894255900577
"Nov 2002",450768.93848493416,4.880999970184741
"Dec 2002",417696.12694343226,-7.336976601063483
"Jan 2003",393173.9328218396,-5.87082152306232
"Feb 2003",387678.9430917972,-1.3975976714947658
"Mar 2003",398464.1357079429,2.7819908221303313
"Apr 2003",424675.7334738177,6.578157333860224
"May 2003",429151.8915542728,1.0540178606016415
"Jun 2003",437555.2150063969,1.95812336319654
"Jul 2003",446516.23945461144,2.0479756933267312
"Aug 2003",445702.7086436448,-0.18219512283815797
"Sep 2003",445822.82601404213,0.02695011003250869
"Oct 2003",459133.62407375756,2.985669930524404
"Nov 2003",457291.07484799536,-0.40131001720453696
"Dec 2003",480598.2093980088,5.096783172022512
"Jan 2004",490245.8471668934,2.007422745284271
"Feb 2004",492159.4587598122,0.39033713472074183
"Mar 2004",480215.534340112,-2.426840367916039
